Customer_ID,Customer_Name,Country,City,State,Postal_Code
AA-10315,Alex Avila,United States,Minneapolis,Minnesota,55407
AA-10315,Alex Avila,United States,New York City,New York,10011
AA-10315,Alex Avila,United States,Round Rock,Texas,78664
AA-10315,Alex Avila,United States,San Francisco,California,94109
AA-10315,Alex Avila,United States,San Francisco,California,94122
AA-10375,Allen Armold,United States,Atlanta,Georgia,30318
AA-10375,Allen Armold,United States,Lebanon,Tennessee,37087
AA-10375,Allen Armold,United States,Los Angeles,California,90008
AA-10375,Allen Armold,United States,Mesa,Arizona,85204
AA-10375,Allen Armold,United States,New York City,New York,10035
AA-10375,Allen Armold,United States,Omaha,Nebraska,68104
AA-10375,Allen Armold,United States,Providence,Rhode Island,2908
AA-10375,Allen Armold,United States,Rancho Cucamong,California,91730
AA-10375,Allen Armold,United States,Salem,Oregon,97301
AA-10480,Andrew Allen,United States,Concord,North Carolina,28027
AA-10480,Andrew Allen,United States,Detroit,Michigan,48234
AA-10480,Andrew Allen,United States,Middletown,Connecticut,6457
AA-10480,Andrew Allen,United States,Springfield,Missouri,65807
AA-10645,Anna Andreadi,United States,Chester,Pennsylvania,19013
AA-10645,Anna Andreadi,United States,Georgetown,Kentucky,40324
AA-10645,Anna Andreadi,United States,Lowell,Massachusetts,1852
AA-10645,Anna Andreadi,United States,Oklahoma City,Oklahoma,73120
AA-10645,Anna Andreadi,United States,San Diego,California,92105
AA-10645,Anna Andreadi,United States,San Francisco,California,94109
AB-10015,Aaron Bergman,United States,Arlington,Texas,76017
AB-10015,Aaron Bergman,United States,Oklahoma City,Oklahoma,73120
AB-10015,Aaron Bergman,United States,Seattle,Washington,98103
AB-10060,Adam Bellavance,United States,Concord,New Hampshire,3301
AB-10060,Adam Bellavance,United States,Des Moines,Washington,98198
AB-10060,Adam Bellavance,United States,Greenwood,Indiana,46142
AB-10060,Adam Bellavance,United States,Los Angeles,California,90004
AB-10060,Adam Bellavance,United States,New York City,New York,10009
AB-10060,Adam Bellavance,United States,Philadelphia,Pennsylvania,19143
AB-10060,Adam Bellavance,United States,Seattle,Washington,98105
AB-10060,Adam Bellavance,United States,Waynesboro,Virginia,22980
AB-10105,Adrian Barton,United States,Bloomington,Illinois,61701
AB-10105,Adrian Barton,United States,Detroit,Michigan,48205
AB-10105,Adrian Barton,United States,Henderson,Kentucky,42420
AB-10105,Adrian Barton,United States,Houston,Texas,77041
AB-10105,Adrian Barton,United States,Indianapolis,Indiana,46203
AB-10105,Adrian Barton,United States,New York City,New York,10011
AB-10105,Adrian Barton,United States,Pearland,Texas,77581
AB-10105,Adrian Barton,United States,Phoenix,Arizona,85023
AB-10105,Adrian Barton,United States,Portland,Oregon,97206
AB-10150,Aimee Bixby,United States,Carrollton,Texas,75007
AB-10150,Aimee Bixby,United States,Dallas,Texas,75220
AB-10150,Aimee Bixby,United States,Long Beach,New York,11561
AB-10150,Aimee Bixby,United States,Tulsa,Oklahoma,74133
AB-10150,Aimee Bixby,United States,Yonkers,New York,10701
AB-10165,Alan Barnes,United States,Bellevue,Washington,98006
AB-10165,Alan Barnes,United States,Decatur,Illinois,62521
AB-10165,Alan Barnes,United States,Lakewood,California,90712
AB-10165,Alan Barnes,United States,Lebanon,Tennessee,37087
AB-10165,Alan Barnes,United States,Los Angeles,California,90036
AB-10165,Alan Barnes,United States,Los Angeles,California,90045
AB-10165,Alan Barnes,United States,Louisville,Colorado,80027
AB-10165,Alan Barnes,United States,Toledo,Ohio,43615
AB-10255,Alejandro Ballenti,United States,Carlsbad,New Mexico,88220
AB-10255,Alejandro Ballenti,United States,Jackson,Mississippi,39212
AB-10255,Alejandro Ballenti,United States,Lorain,Ohio,44052
AB-10255,Alejandro Ballenti,United States,Los Angeles,California,90008
AB-10255,Alejandro Ballenti,United States,Los Angeles,California,90036
AB-10255,Alejandro Ballenti,United States,New York City,New York,10009
AB-10255,Alejandro Ballenti,United States,Philadelphia,Pennsylvania,19134
AB-10255,Alejandro Ballenti,United States,Plano,Texas,75023
AB-10255,Alejandro Ballenti,United States,Seattle,Washington,98103
AB-10600,Ann Blume,United States,Chicago,Illinois,60623
AB-10600,Ann Blume,United States,Jacksonville,North Carolina,28540
AB-10600,Ann Blume,United States,Los Angeles,California,90004
AB-10600,Ann Blume,United States,Tucson,Arizona,85705
AC-10420,Alyssa Crouse,United States,Houston,Texas,77041
AC-10420,Alyssa Crouse,United States,Philadelphia,Pennsylvania,19120
AC-10420,Alyssa Crouse,United States,San Francisco,California,94122
AC-10450,Amy Cox,United States,Avondale,Arizona,85323
AC-10450,Amy Cox,United States,Lafayette,Louisiana,70506
AC-10450,Amy Cox,United States,Minneapolis,Minnesota,55407
AC-10450,Amy Cox,United States,New York City,New York,10011
AC-10450,Amy Cox,United States,Pembroke Pines,Florida,33024
AC-10450,Amy Cox,United States,Seattle,Washington,98105
AC-10450,Amy Cox,United States,Tampa,Florida,33614
AC-10615,Ann Chong,United States,Beaumont,Texas,77705
AC-10615,Ann Chong,United States,New York City,New York,10009
AC-10615,Ann Chong,United States,Philadelphia,Pennsylvania,19143
AC-10615,Ann Chong,United States,Rochester,New York,14609
AC-10615,Ann Chong,United States,Seattle,Washington,98115
AC-10660,Anna Chung,United States,Huntsville,Texas,77340
AC-10660,Anna Chung,United States,Lawrence,Indiana,46226
AC-10660,Anna Chung,United States,Parma,Ohio,44134
AC-10660,Anna Chung,United States,San Francisco,California,94109
AD-10180,Alan Dominguez,United States,Fairfield,Connecticut,6824
AD-10180,Alan Dominguez,United States,Great Falls,Montana,59405
AD-10180,Alan Dominguez,United States,Houston,Texas,77041
AD-10180,Alan Dominguez,United States,New York City,New York,10035
AD-10180,Alan Dominguez,United States,Philadelphia,Pennsylvania,19120
AD-10180,Alan Dominguez,United States,Philadelphia,Pennsylvania,19134
AD-10180,Alan Dominguez,United States,San Francisco,California,94122
AD-10180,Alan Dominguez,United States,Yonkers,New York,10701
AF-10870,Art Ferguson,United States,Chicago,Illinois,60610
AF-10870,Art Ferguson,United States,College Station,Texas,77840
AF-10870,Art Ferguson,United States,Homestead,Florida,33030
AF-10870,Art Ferguson,United States,Passaic,New Jersey,7055
AF-10870,Art Ferguson,United States,San Clemente,California,92672
AF-10870,Art Ferguson,United States,San Francisco,California,94109
AF-10885,Art Foster,United States,Fairfield,Ohio,45014
AF-10885,Art Foster,United States,Louisville,Kentucky,40214
AF-10885,Art Foster,United States,Philadelphia,Pennsylvania,19134
AF-10885,Art Foster,United States,Toledo,Ohio,43615
AG-10270,Alejandro Grove,United States,Lawrence,Massachusetts,1841
AG-10270,Alejandro Grove,United States,New York City,New York,10011
AG-10270,Alejandro Grove,United States,Omaha,Nebraska,68104
AG-10270,Alejandro Grove,United States,Philadelphia,Pennsylvania,19120
AG-10270,Alejandro Grove,United States,West Jordan,Utah,84084
AG-10300,Aleksandra Gannawa,United States,Franklin,Massachusetts,2038
AG-10300,Aleksandra Gannawa,United States,Las Vegas,Nevada,89115
AG-10300,Aleksandra Gannawa,United States,Los Angeles,California,90049
AG-10300,Aleksandra Gannawa,United States,San Francisco,California,94122
AG-10330,Alex Grayson,United States,Charlotte,North Carolina,28205
AG-10330,Alex Grayson,United States,Houston,Texas,77095
